Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,7.042598247528076,-1.1198996,8.400001,50.93112244897959
40000,14.370567083358765,5.2316246,12.900014,60.225903614457835
60000,21.698673248291016,6.9817853,26.900057,74.36059479553903
80000,29.05756711959839,11.554202,40.999947,111.50837988826815
100000,36.036856174468994,12.639171,37.09999,120.09638554216868
120000,43.39857625961304,16.374447,94.59931,150.18045112781954
140000,50.71958923339844,16.541348,78.3995,151.51127819548873
160000,58.13969111442566,16.409033,68.89961,150.3233082706767
180000,65.15192604064941,21.129232,96.89928,188.58490566037736
200000,72.43141913414001,17.52879,120.398994,159.648
220000,79.74635815620422,16.030148,78.3995,147.14705882352942
240000,87.42397594451904,19.057747,66.99964,171.93965517241378
260000,94.52694606781006,17.096128,88.29938,155.93798449612405
280000,102.04663014411926,15.43215,155.80031,142.56428571428572
300000,109.45011520385742,18.206604,69.8996,164.80165289256198
320000,116.88354897499084,20.757006,93.399315,185.17757009345794
340000,124.34077429771423,19.738585,106.39916,177.359649122807
360000,131.44002103805542,17.72903,101.999214,161.07258064516128
380000,138.9379801750183,17.562397,78.3995,159.552
400000,146.35499024391174,19.691153,64.79966,176.8495575221239
420000,153.8598291873932,18.196724,96.89928,164.78688524590163
440000,160.935161113739,18.8161,92.39933,169.94915254237287
460000,168.41726207733154,15.975737,78.3995,147.0
480000,175.87476110458374,17.010847,99.79925,155.015503875969
500000,183.39914512634277,13.877783,73.89955,129.66013071895424
520000,190.4573540687561,17.318394,96.89928,157.688
540000,197.867427110672,21.874271,78.4995,194.42857142857142
560000,205.26533198356628,18.730513,59.89972,169.09322033898306
580000,212.7136640548706,23.54685,148.39998,207.9375
600000,219.74419116973877,21.026154,78.3995,187.70093457943926
620000,227.1540560722351,20.876616,110.89911,186.54205607476635
640000,234.58891701698303,19.698214,120.398994,177.23893805309734
660000,241.98432421684265,29.592241,120.398994,257.0769230769231
680000,249.31690406799316,22.554054,130.0991,199.98979591836735
700000,256.3302810192108,30.24392,110.89911,262.08
720000,263.7293031215668,30.565323,110.89911,264.15384615384613
740000,271.2100660800934,35.81219,134.3993,307.2307692307692
760000,278.5512762069702,31.044546,115.99905,267.93243243243245
780000,285.5270941257477,41.960705,186.2018,356.67857142857144
800000,292.94618916511536,31.041288,222.90355,268.97333333333336
820000,300.31400299072266,37.95957,167.70091,324.258064516129
840000,307.7600100040436,56.631004,302.40735,474.45238095238096
860000,315.2083902359009,70.4528,188.8019,586.0882352941177
880000,322.6494491100311,50.693527,295.807,427.1333333333333
900000,330.04545736312866,15.566925,250.90489,143.70344827586206
