Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,7.096857070922852,-0.7507479,6.599996,49.723880597014926
40000,14.5795259475708,4.9104023,13.000014,57.73699421965318
60000,21.9849112033844,6.972863,27.50006,74.20446096654275
80000,29.35677480697632,9.534604,31.900055,94.74407582938389
100000,36.42141103744507,12.247381,43.09993,116.78947368421052
120000,43.85230493545532,12.682538,51.39982,120.15060240963855
140000,51.25771689414978,14.158562,68.89961,132.1578947368421
160000,58.621856927871704,14.327337,54.89978,133.51333333333332
180000,65.7014479637146,19.715033,138.89952,177.16814159292036
200000,73.13170504570007,17.586397,68.89961,160.008
220000,80.59278106689453,17.480799,82.899445,159.168
240000,88.96280980110168,20.942032,124.99894,186.85981308411215
260000,96.43527388572693,20.56572,113.29909,184.07407407407408
280000,104.10935187339783,18.794954,78.3995,169.68067226890756
300000,111.72296404838562,18.439167,148.39998,166.74166666666667
320000,119.21623611450195,17.821936,80.59948,161.78048780487805
340000,126.59399700164795,20.715723,144.09978,185.07407407407408
360000,133.7000560760498,16.845036,106.39916,153.9618320610687
380000,141.12777400016785,20.267252,110.89911,181.43636363636364
400000,148.6235649585724,20.534847,134.3993,183.651376146789
420000,156.0008409023285,13.441134,125.898926,126.5
440000,163.06896781921387,17.739511,110.99911,161.17741935483872
460000,170.86145997047424,18.681349,96.89928,168.98305084745763
480000,178.2382299900055,21.031757,78.79949,187.58878504672896
500000,185.6625270843506,20.916811,106.39916,186.85981308411215
520000,192.65869688987732,22.430916,132.29918,198.84536082474227
540000,199.9978039264679,24.814697,120.398994,218.1263157894737
560000,207.32325506210327,25.689837,96.89928,225.12359550561797
580000,214.73504400253296,22.452984,96.999275,199.26
600000,221.78242778778076,29.479443,148.49998,255.83333333333334
620000,229.15639805793762,25.96018,138.89952,227.54545454545453
640000,236.52933979034424,26.690645,124.89894,233.32558139534885
660000,243.84832000732422,26.968977,130.69914,235.9047619047619
680000,251.15424418449402,26.639942,96.89928,232.8235294117647
700000,258.1551299095154,31.766127,134.89934,274.05405405405406
720000,265.53558802604675,18.57415,71.49959,167.56666666666666
740000,272.878005027771,27.77314,168.10094,242.70731707317074
760000,280.22781205177307,28.12198,284.80652,244.91463414634146
780000,287.21744108200073,22.37596,138.99953,198.67
800000,294.9552369117737,24.64836,152.90019,216.93548387096774
820000,302.4497139453888,59.05766,367.9105,494.475
840000,309.91898703575134,9.21674,174.70122,109.2
860000,316.92201805114746,24.283657,176.80135,214.67391304347825
880000,324.2864809036255,41.937477,237.20424,356.92857142857144
900000,331.71091508865356,66.34867,298.70718,553.1142857142858
920000,339.1375150680542,43.98728,244.20454,377.07272727272726
940000,346.304563999176,34.004543,225.80367,292.95454545454544
960000,353.9648389816284,47.774952,349.3096,403.5098039215686
980000,361.5352580547333,39.799816,124.99894,341.5762711864407
1000000,369.0062348842621,24.273697,345.1094,219.45054945054946
1020000,376.41276597976685,47.57982,152.90019,401.12
1040000,384.324383020401,66.92845,234.70409,557.8857142857142
1060000,392.09301495552063,58.992867,278.90622,494.0243902439024
1080000,399.58201813697815,50.91489,236.90422,428.6170212765957
1100000,407.61954617500305,60.98378,204.40266,510.1621621621622
1120000,415.09732604026794,66.605316,250.90489,555.078947368421
1140000,422.8893840312958,56.18839,485.11612,492.2439024390244
1160000,430.70325803756714,10.88332,97.29927,122.35185185185185
1180000,438.4656479358673,29.956669,125.298935,259.0
1200000,445.5291199684143,70.0392,288.7067,582.8888888888889
1220000,453.027281999588,73.04524,162.40065,607.5454545454545
1240000,460.4656479358673,44.30798,222.90355,375.24
1260000,467.85355401039124,53.5022,306.90756,449.8936170212766
1280000,474.84688091278076,72.53458,247.10472,603.8275862068965
1300000,482.2169620990753,31.794899,328.30856,274.5921052631579
1320000,489.6494379043579,53.625256,291.3068,452.125
1340000,497.0116500854492,51.362965,235.30412,433.7906976744186
1360000,504.31683683395386,57.30935,232.404,480.27906976744185
1380000,511.34022188186646,47.57479,334.9089,401.531914893617
1400000,518.7662918567657,35.493042,303.3074,311.0285714285714
1420000,526.262255191803,59.535442,326.00848,498.8
1440000,534.0449430942535,24.504389,120.79899,222.84444444444443
1460000,541.1380081176758,74.7128,336.00897,623.03125
1480000,548.649092912674,49.766605,230.6039,419.0416666666667
1500000,556.1373460292816,59.26917,208.90288,496.15384615384613
1520000,563.6942019462585,25.2893,289.20673,221.0215053763441
1540000,570.8174798488617,20.705624,302.40735,185.08333333333334
1560000,578.4311738014221,39.857475,162.50066,339.66101694915255
1580000,585.8304579257965,61.504963,204.9027,514.3589743589744
1600000,593.2505600452423,57.8853,221.20345,485.1463414634146
1620000,600.9037561416626,101.20008,216.70323,834.75
1640000,608.0191979408264,27.905321,313.00787,244.3421052631579
1660000,615.4846370220184,50.939938,204.9027,429.68
1680000,623.0057690143585,83.19023,373.41077,689.5862068965517
1700000,630.5547897815704,30.79315,214.30315,267.2739726027397
1720000,637.7567298412323,54.761612,307.10757,460.70454545454544
1740000,645.2388470172882,72.38453,484.41608,602.1612903225806
1760000,652.7095959186554,90.07081,293.60693,745.5925925925926
1780000,660.1495280265808,90.68306,344.60938,749.0714285714286
1800000,667.2560210227966,59.892677,246.90471,501.25
1820000,674.6849238872528,59.257557,289.30667,497.15
1840000,682.1036539077759,49.632973,550.00977,419.2857142857143
1860000,689.4918169975281,34.780064,263.20544,300.5
1880000,696.5523629188538,8.0653105,275.00604,114.38947368421053
1900000,703.9580919742584,83.19123,801.86145,691.1481481481482
1920000,711.3334529399872,47.337997,307.20758,401.2830188679245
1940000,718.7216329574585,84.33656,340.5092,703.9285714285714
1960000,726.1001439094543,106.52252,423.91318,877.8260869565217
1980000,733.1509470939636,78.610504,261.00537,653.1034482758621
2000000,740.569503068924,79.83654,396.61188,662.6785714285714
