Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,7.035367727279663,-0.6182071,9.200004,51.16410256410256
40000,14.426539659500122,5.7635474,20.700037,64.54193548387097
60000,21.772453784942627,7.989715,26.900057,82.37860082304526
80000,29.304471731185913,10.400517,50.399834,101.96428571428571
100000,36.855939626693726,11.14974,32.600044,108.04864864864865
120000,44.408854722976685,11.387983,54.89978,109.3879781420765
140000,51.79482293128967,13.209384,54.89978,124.475
160000,59.0921368598938,13.1993885,46.89987,124.54658385093168
180000,66.0572898387909,14.510815,106.39916,135.1283783783784
200000,73.41132855415344,15.23121,68.89961,140.9078014184397
220000,80.72578167915344,15.92993,120.398994,146.5839416058394
240000,88.03073072433472,16.77099,92.59933,153.3587786259542
260000,95.00465774536133,18.43082,96.89928,166.73333333333332
280000,102.3541328907013,19.182304,55.49977,172.71681415929203
300000,109.6814296245575,19.037283,69.999596,171.70338983050848
320000,116.96910691261292,19.937496,93.49931,178.95535714285714
340000,124.25456380844116,21.518068,124.89894,191.63809523809525
360000,131.21138381958008,18.657385,82.899445,168.38260869565218
380000,138.63632583618164,21.025673,134.3993,187.73394495412845
400000,145.88890767097473,22.344095,134.3993,198.26470588235293
420000,153.1418228149414,19.776783,162.40065,177.66964285714286
440000,160.0497648715973,19.652197,120.398994,176.53982300884957
460000,167.3074517250061,18.19098,64.399666,164.7295081967213
480000,174.56186771392822,19.752232,96.89928,177.46846846846847
500000,181.80721163749695,21.790451,110.89911,194.01904761904763
520000,189.08478689193726,23.837852,96.89928,210.34736842105264
540000,196.6943817138672,15.910374,78.3995,146.17037037037036
560000,204.12741088867188,25.699959,148.39998,225.3
580000,211.409747838974,25.906767,120.398994,226.8068181818182
600000,218.3621027469635,20.509186,190.502,183.14678899082568
620000,225.67337775230408,23.191814,79.09949,204.98979591836735
640000,232.96897792816162,22.617302,125.79893,200.4387755102041
660000,240.2765109539032,29.127417,120.398994,253.1125
680000,247.60063791275024,27.448162,110.99911,239.3975903614458
700000,254.54567575454712,26.613909,166.90086,232.6627906976744
720000,261.89741683006287,32.963284,148.49998,283.2112676056338
740000,269.200799703598,26.213964,214.90318,228.45348837209303
760000,276.4821717739105,38.20652,204.40266,325.78688524590166
780000,283.4788737297058,50.745625,152.90019,427.5208333333333
800000,290.9265706539154,48.104023,204.9027,406.265306122449
820000,298.26974272727966,44.497963,144.79982,376.8490566037736
840000,305.5752708911896,40.76547,177.40138,346.5
860000,312.5897767543793,57.88781,269.9058,485.609756097561
880000,319.9729857444763,57.352314,202.50255,480.3809523809524
900000,327.3181748390198,37.176212,237.10423,317.6190476190476
920000,334.6547095775604,47.975418,176.50133,404.42857142857144
940000,341.6377217769623,33.197113,237.70427,286.14285714285717
960000,348.9347939491272,92.850655,293.70694,767.8076923076923
980000,356.22995376586914,12.665533,454.2146,121.34545454545454
1000000,363.51657485961914,41.920307,200.20247,356.537037037037
1020000,370.80044078826904,13.44633,302.40735,127.35185185185185
1040000,377.7265417575836,45.00752,204.50267,381.2641509433962
1060000,385.0793385505676,66.66968,247.20473,556.6944444444445
1080000,392.3552978038788,24.750002,208.90288,218.5
1100000,399.669725894928,81.0644,358.41003,672.5333333333333
1120000,406.84242367744446,69.310394,317.30807,577.8
1140000,415.75917387008667,83.93174,448.11435,695.90625
1160000,423.08699584007263,66.26742,181.40157,552.7837837837837
1180000,430.33319568634033,60.046257,270.2058,502.0769230769231
1200000,437.23520159721375,74.793945,242.30449,621.7575757575758
1220000,444.50569772720337,86.63356,242.20448,716.6666666666666
1240000,451.80261182785034,74.639755,400.41205,620.2121212121212
1260000,459.1602838039398,67.14457,303.2074,559.1944444444445
1280000,466.0919806957245,46.068554,218.40334,390.5098039215686
1300000,473.4085087776184,117.96669,419.01294,969.7
1320000,480.70380878448486,89.80485,452.01453,742.1923076923077
1340000,487.9616048336029,95.56386,279.70627,789.6296296296297
1360000,495.27445363998413,103.91016,331.20874,856.8095238095239
1380000,502.16133093833923,76.08912,319.10812,631.3235294117648
1400000,509.4085476398468,48.045166,326.00848,405.6862745098039
1420000,561.3188037872314,27.982922,251.60493,244.1829268292683
1440000,568.954910993576,24.522778,321.60828,216.4431818181818
1460000,631.2004265785217,11.6919565,265.40558,112.4
1480000,638.6925446987152,44.66324,202.40254,378.1020408163265
1500000,683.0370979309082,86.440506,425.01324,715.2
1520000,689.44571185112,101.09298,533.713,833.6666666666666
1540000,695.5918037891388,87.514755,606.9988,724.4814814814815
1560000,701.9514818191528,9.70192,284.3065,97.06603773584905
1580000,713.0745248794556,28.748678,144.29979,250.225
1600000,813.3063817024231,34.9015,222.90355,300.9846153846154
1620000,819.6443636417389,40.932293,261.00537,355.2857142857143
1640000,825.7352817058563,44.228287,218.50334,379.92452830188677
1660000,851.366881608963,80.424,368.0105,667.0333333333333
1680000,858.108877658844,55.740093,527.11414,473.7906976744186
1700000,864.6508469581604,79.99045,286.80658,663.4827586206897
1720000,887.5647616386414,71.42547,314.80792,594.1875
1740000,917.3562986850739,32.601196,778.36597,298.13698630136986
1760000,925.38680768013,28.479492,251.50493,254.56410256410257
1780000,932.1124789714813,20.100983,237.40425,186.2710280373832
1800000,938.1967256069183,53.65809,216.80324,451.09302325581393
1820000,944.6907427310944,80.526276,356.80994,669.1612903225806
1840000,951.3647077083588,32.056328,209.3029,276.0422535211268
1860000,958.0379817485809,83.8868,384.71127,694.0689655172414
1880000,964.4925837516785,106.94695,463.71506,880.6818181818181
1900000,971.2896068096161,46.090534,320.90823,396.61538461538464
1920000,978.1301708221436,81.16582,359.01007,671.8275862068965
1940000,985.0258417129517,75.97649,193.30211,630.0666666666667
1960000,992.1899588108063,105.6611,361.31015,870.32
1980000,999.0208497047424,74.203445,372.4107,616.625
2000000,1006.1602618694305,53.286972,477.81573,450.0
