Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,7.909318208694458,-0.8597485,9.300004,50.47848101265823
40000,16.84589123725891,5.073667,17.90003,59.23372781065089
60000,25.133668184280396,7.8620434,31.900055,81.7591836734694
80000,33.546988010406494,9.924638,27.200058,98.45320197044335
100000,41.53894400596619,11.605628,41.299942,112.24157303370787
120000,49.966039180755615,17.927034,110.89911,162.9016393442623
140000,58.43165111541748,22.165665,155.10027,197.09803921568627
160000,66.77482914924622,33.10001,214.70317,285.42857142857144
180000,74.7406210899353,27.114395,138.89952,237.25301204819277
200000,83.20783424377441,30.434978,148.39998,263.8051948051948
220000,92.10830593109131,32.428066,120.49899,280.01408450704224
240000,100.86707401275635,34.0426,218.40334,293.05882352941177
260000,109.08458399772644,20.443361,138.99953,183.25471698113208
280000,117.64779710769653,18.111887,144.29979,164.4047619047619
300000,126.40342307090759,15.1832075,92.39933,140.67832167832168
320000,135.09084224700928,16.39844,78.3995,150.35658914728683
340000,143.8428840637207,37.96381,166.90086,324.6885245901639
360000,152.54211902618408,33.902733,191.50206,291.84507042253523
380000,161.18416213989258,28.81995,148.39998,250.825
400000,169.51989006996155,31.972128,134.3993,276.22222222222223
420000,178.0451431274414,32.276306,134.69933,278.8888888888889
440000,186.321444272995,25.931322,110.89911,227.40697674418604
460000,194.77906894683838,36.42916,208.90288,312.15384615384613
480000,203.6039319038391,21.169123,97.29927,188.79439252336448
500000,212.28603506088257,23.22369,148.59999,205.4742268041237
520000,220.54895997047424,27.695143,162.40065,241.65060240963857
540000,228.88853096961975,29.53151,144.69981,256.57894736842104
560000,237.49169993400574,28.315582,124.89894,246.7710843373494
580000,246.3025541305542,27.093988,116.799034,236.83333333333334
600000,254.43714904785156,27.467411,120.79899,240.02409638554218
620000,262.7525770664215,25.046116,78.4995,220.21978021978023
640000,271.0630819797516,24.432928,148.39998,215.3409090909091
660000,279.39317417144775,29.040909,162.40065,252.50602409638554
680000,288.5083861351013,24.87715,152.90019,218.97826086956522
700000,297.1786229610443,32.19297,106.39916,278.18055555555554
720000,305.87975025177,28.35056,110.89911,246.39506172839506
740000,314.4525520801544,24.488,107.19915,215.77173913043478
760000,322.89506316185,25.363691,110.89911,222.8021978021978
780000,330.8757610321045,39.861984,177.20137,339.94827586206895
800000,339.5111560821533,38.881855,190.402,332.0983606557377
820000,348.21682620048523,34.177166,148.39998,294.0
840000,356.95574927330017,50.854053,177.20137,428.6041666666667
