Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,7.135979175567627,-2.1174695,8.400001,50.53164556962025
40000,14.741424322128296,5.216866,26.900057,60.27710843373494
60000,22.299524307250977,8.672449,32.30005,88.04444444444445
80000,29.7385311126709,11.594424,40.89995,111.91061452513966
100000,36.91486430168152,17.934685,64.79966,162.76612903225808
120000,44.36436414718628,18.3875,69.29961,166.6
140000,51.783204078674316,15.870815,65.39965,145.86131386861314
160000,59.1586492061615,16.208206,78.3995,148.76865671641792
180000,66.27015137672424,16.904615,68.89961,154.36153846153846
200000,73.77547025680542,20.172703,120.398994,180.73636363636365
220000,81.20627617835999,19.918743,76.699524,178.92857142857142
240000,88.81599617004395,19.162903,106.39916,172.68103448275863
260000,95.98305416107178,17.659195,79.59948,160.592
280000,103.73383927345276,16.926575,152.90019,154.8125
300000,111.3401050567627,18.662169,139.89958,168.88235294117646
320000,118.91410303115845,17.288961,92.39933,157.45669291338584
340000,126.7414562702179,15.33121,78.79949,141.84397163120568
360000,134.40210938453674,19.441214,106.79916,174.93859649122808
380000,142.2070620059967,14.87398,78.3995,137.91780821917808
400000,149.89319705963135,18.040491,106.899155,163.73553719008265
420000,157.51531219482422,22.534616,106.39916,199.990099009901
440000,164.85940313339233,17.93689,108.599144,162.48360655737704
460000,172.36164832115173,15.333111,54.89978,141.57746478873239
480000,179.90737009048462,14.405491,51.29982,134.03424657534248
500000,187.39529395103455,16.464455,68.89961,150.77777777777777
520000,194.45289826393127,15.961045,45.899887,146.72058823529412
540000,201.883620262146,21.821554,78.3995,193.92156862745097
560000,209.36987233161926,16.344034,78.99949,149.92537313432837
580000,216.81598734855652,14.725688,45.899887,136.48648648648648
600000,223.84076619148254,19.525438,87.89938,175.3859649122807
620000,231.22674822807312,22.467981,115.89905,199.14
640000,238.60240530967712,25.661322,111.199104,224.86363636363637
660000,245.94001722335815,31.00917,171.90111,268.2763157894737
680000,253.79631805419922,17.953653,93.49931,162.73170731707316
700000,260.8929212093353,26.897612,180.90154,235.29761904761904
720000,268.2601661682129,17.904787,101.899216,162.04
740000,275.669557094574,28.583706,138.89952,248.35
760000,283.18773317337036,36.463974,180.90154,311.65625
780000,290.26643204689026,75.69703,260.40533,629.03125
800000,297.68302631378174,22.945896,132.79921,202.53061224489795
820000,305.07317209243774,35.524162,166.90086,304.06060606060606
840000,312.6562252044678,50.425426,232.404,425.25531914893617
860000,319.64550137519836,57.58516,180.90154,483.0243902439024
880000,327.02504229545593,49.837368,204.40266,420.125
900000,334.38658833503723,41.650925,204.40266,353.8727272727273
920000,341.93221616744995,52.84992,207.20277,444.0217391304348
940000,348.9763581752777,51.849842,242.30449,436.7608695652174
960000,356.51913499832153,61.33446,410.51254,512.7894736842105
980000,364.27381205558777,38.59354,232.404,329.8709677419355
1000000,371.75032234191895,106.58398,409.9125,878.0434782608696
1020000,379.31049132347107,118.36625,289.10672,971.9
1040000,386.85713720321655,54.797794,320.90823,459.5581395348837
1060000,394.3989272117615,51.97238,270.30582,437.468085106383
1080000,401.9914963245392,44.092533,221.30345,374.0925925925926
1100000,409.61634731292725,65.04907,330.4087,543.2702702702703
1120000,416.9186131954193,7.46307,293.70694,78.8714859437751
1140000,424.3871212005615,32.68354,209.70293,282.2238805970149
1160000,432.01379203796387,97.34677,298.60718,803.0769230769231
1180000,439.4727592468262,110.72382,418.91293,911.6363636363636
1200000,446.59924936294556,51.95008,300.80725,437.2857142857143
1220000,454.1369683742523,83.38495,274.506,691.0
1240000,461.60941314697266,44.763313,152.90019,385.25
1260000,469.01055002212524,34.95535,180.90154,302.0769230769231
1280000,476.41829204559326,57.674965,214.80318,485.375
1300000,484.358519077301,40.786427,209.10289,346.45762711864404
1320000,491.92542815208435,83.782265,321.30826,693.4814814814815
1340000,499.4797422885895,85.17211,351.10965,704.8928571428571
1360000,507.03953528404236,70.49213,341.10922,586.9166666666666
1380000,514.2587332725525,61.754032,286.80658,515.9230769230769
1400000,521.8255512714386,78.92591,337.10898,653.6451612903226
1420000,529.3012871742249,60.032753,382.01117,501.3
1440000,536.8311192989349,36.356846,190.80202,311.33846153846156
1460000,543.9913332462311,57.14567,440.81396,481.0238095238095
