Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,7.3998589515686035,-0.8599505,8.800002,50.93622448979592
40000,15.194210052490234,6.3622837,26.900057,69.29757785467127
60000,22.86695408821106,10.478982,38.89998,102.26666666666667
80000,30.615653038024902,12.574863,40.89995,119.61077844311377
100000,37.94451308250427,14.036194,54.89978,131.34868421052633
120000,46.265937089920044,15.177632,96.89928,140.24475524475525
140000,54.149571895599365,14.959732,64.499664,138.84722222222223
160000,61.91456389427185,15.195077,68.89961,140.51408450704224
180000,69.37282109260559,16.663633,134.49931,152.13636363636363
200000,77.14685130119324,17.725807,132.49919,161.11290322580646
220000,84.96455216407776,17.726604,78.3995,160.83064516129033
240000,92.78800392150879,19.465216,87.89938,174.81739130434784
260000,100.16622304916382,18.231668,64.69966,165.34166666666667
280000,108.33736300468445,15.258442,92.39933,141.0211267605634
300000,116.27605319023132,18.911852,96.89928,170.3728813559322
320000,124.07629299163818,16.388733,55.799767,150.39097744360902
340000,131.88389110565186,18.119003,90.19936,164.29752066115702
360000,139.30609011650085,15.364086,81.09947,141.69718309859155
380000,147.12995791435242,18.704222,74.39954,168.67796610169492
400000,154.9335811138153,21.166334,83.599434,189.0
420000,162.67487812042236,21.216648,109.29913,189.25
440000,170.18516302108765,21.77668,82.899445,193.90291262135923
460000,178.0079309940338,18.250404,148.49998,165.0909090909091
480000,185.7595820426941,20.818504,71.19959,185.85185185185185
500000,193.52012705802917,26.30228,125.09894,230.27906976744185
520000,200.9198591709137,23.576244,92.39933,208.2577319587629
540000,209.11388206481934,20.67313,96.89928,184.9814814814815
560000,216.8981819152832,26.335997,134.3993,230.30232558139534
580000,224.71086597442627,31.1346,93.09932,268.70666666666665
600000,232.13668012619019,33.21005,104.79919,285.9710144927536
620000,239.97087693214417,37.365025,179.10143,319.5079365079365
640000,247.80801105499268,35.938614,251.60493,307.9384615384615
660000,255.62384700775146,30.206537,176.90135,261.3157894736842
680000,263.4349699020386,54.42052,264.90555,457.02272727272725
700000,270.89203119277954,59.895092,233.10405,500.15
720000,278.7241291999817,53.013275,200.90251,445.93333333333334
740000,286.694011926651,38.998283,183.30162,331.53333333333336
760000,294.47858595848083,50.162064,508.71725,422.8085106382979
780000,301.912611246109,52.337566,151.20009,440.5777777777778
800000,309.667268037796,68.42525,291.10678,569.75
820000,317.48261618614197,49.48955,292.9069,417.5833333333333
840000,325.24868416786194,60.440727,283.90646,505.94594594594594
860000,332.66255497932434,53.57248,307.6076,450.21276595744683
880000,340.4589321613312,53.124294,197.70232,445.84444444444443
900000,348.26414012908936,68.488914,334.9089,570.6571428571428
920000,356.09338307380676,35.744637,188.30186,305.3076923076923
940000,363.5478229522705,48.042133,253.80501,403.76
960000,371.8240110874176,63.359535,223.60359,528.8108108108108
980000,379.7376000881195,43.27105,314.70792,366.8
1000000,387.5783791542053,44.354668,242.00447,376.0943396226415
1020000,395.4530830383301,56.230373,314.4079,470.95348837209303
1040000,402.9185869693756,88.24564,668.98706,729.7307692307693
1060000,410.691663980484,82.3421,402.71213,681.1034482758621
1080000,418.4792311191559,45.67125,232.404,386.0192307692308
1100000,426.28826928138733,52.98575,253.50499,444.85714285714283
1120000,433.9173882007599,96.86906,372.4107,800.0
1140000,441.8178389072418,75.23264,276.9061,624.8387096774194
1160000,449.62788796424866,105.13339,625.39526,866.9583333333334
1180000,457.4250099658966,101.600914,432.9136,837.2173913043479
1200000,465.04006695747375,50.529003,167.6009,426.1041666666667
1220000,505.22609400749207,76.02075,432.9136,631.7
1240000,536.1873350143433,99.816376,470.5154,823.6153846153846
1260000,545.2801361083984,70.51192,214.10313,587.7352941176471
1280000,590.1275200843811,60.020966,330.4087,501.8205128205128
1300000,597.4845390319824,68.37789,376.91092,570.3142857142857
1320000,663.5693550109863,49.16166,302.80737,415.18367346938777
1340000,670.9130110740662,51.906845,418.91293,437.26666666666665
1360000,677.6277441978455,69.960045,209.10289,582.5428571428571
1380000,709.6144700050354,62.408382,293.50693,521.2432432432432
1400000,716.3390438556671,16.96522,228.30382,153.9185185185185
1420000,723.0472888946533,23.768524,283.90646,209.3684210526316
1440000,783.1114859580994,44.69414,289.20673,378.88235294117646
1460000,789.6059770584106,129.23804,317.30807,1061.3157894736842
1480000,810.798347234726,88.66911,447.01428,733.75
1500000,817.7874221801758,80.68084,477.2157,668.4
1520000,825.1782350540161,72.8377,330.90872,606.0625
1540000,840.7693619728088,68.00548,205.1027,567.3055555555555
1560000,850.0228290557861,56.1637,312.40784,474.2926829268293
1580000,2841.6078250408173,37.69051,179.00142,322.28125
1600000,3545.111438035965,55.38576,346.90945,469.2142857142857
1620000,3553.309998035431,79.7229,384.11124,660.5555555555555
1640000,3560.3830349445343,108.95111,555.10876,896.875
1660000,3567.23343706131,138.52603,471.11545,1136.2941176470588
1680000,3574.7429509162903,149.032,363.11026,1221.235294117647
