Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,7.085987091064453,-2.4586482,6.699996,50.045112781954884
40000,14.480041027069092,5.1555204,12.900014,59.734328358208955
60000,21.872411251068115,7.0310874,26.900057,74.77153558052434
80000,29.189425230026245,10.100505,36.6,99.55721393034825
100000,36.17323017120361,13.40253,50.399834,126.062893081761
120000,43.50286316871643,13.557702,68.89961,127.59615384615384
140000,50.764506101608276,16.189554,97.99926,148.8507462686567
160000,58.06208515167236,14.582877,64.499664,135.31506849315068
180000,65.03843998908997,20.0482,106.39916,179.74107142857142
200000,72.37515211105347,20.881485,162.70067,186.89814814814815
220000,79.90364503860474,19.21207,166.90086,172.93965517241378
240000,87.28642725944519,21.289505,120.398994,189.95238095238096
260000,94.22118926048279,17.995018,118.49902,163.28099173553719
280000,101.67493200302124,19.595634,94.59931,176.2
300000,108.99389910697937,16.193342,54.89978,148.46666666666667
320000,116.55099105834961,16.04667,82.899445,147.4
340000,124.02450203895569,19.16724,92.39933,172.56896551724137
360000,131.0067241191864,22.155865,134.3993,196.91176470588235
380000,138.3141748905182,18.771793,148.7,169.25641025641025
400000,145.63413500785828,19.302586,78.3995,173.92241379310346
420000,152.9935040473938,16.21791,68.99961,148.66417910447763
440000,160.1553132534027,18.514164,68.89961,167.49166666666667
460000,167.4854462146759,22.044088,106.99915,195.7058823529412
480000,174.7733690738678,16.07574,81.29947,147.27205882352942
500000,182.0796971321106,22.88369,194.9022,202.55102040816325
520000,189.03565406799316,25.40775,162.40065,223.37777777777777
540000,196.38180208206177,21.647575,149.50005,192.873786407767
560000,203.79642915725708,22.616993,162.40065,200.72
580000,211.11394715309143,22.220982,96.89928,197.3
600000,218.1853380203247,22.269901,162.40065,197.6990291262136
620000,225.50786519050598,24.313938,120.49899,214.1720430107527
640000,233.1757230758667,23.10099,124.89894,204.44897959183675
660000,240.48195886611938,25.084248,92.39933,220.38202247191012
680000,247.81866121292114,15.89713,96.89928,145.99285714285713
700000,254.84759306907654,20.536118,54.89978,183.61111111111111
720000,262.82539916038513,25.690987,152.90019,225.64044943820224
740000,270.556752204895,25.952839,124.89894,227.28735632183907
760000,278.7080261707306,24.844055,92.39933,218.50537634408602
780000,285.7931230068207,23.365967,148.39998,206.340206185567
800000,293.15857100486755,31.56437,194.9022,272.3972602739726
820000,300.55267000198364,33.691235,135.49937,290.0
840000,307.9094820022583,36.54751,135.09935,312.9047619047619
860000,314.79586815834045,49.344837,190.402,415.9183673469388
880000,322.1387140750885,47.975475,208.90288,405.3469387755102
900000,329.480642080307,41.547268,180.90154,352.89473684210526
920000,336.84675884246826,30.010654,194.9022,260.3466666666667
940000,343.8206992149353,46.29227,236.90422,391.53846153846155
960000,351.1528482437134,45.74589,186.00179,387.0833333333333
980000,358.5091361999512,71.41956,264.90555,594.9444444444445
1000000,365.78927516937256,61.14212,232.404,511.10526315789474
1020000,373.12354826927185,57.030346,292.9069,478.5348837209302
1040000,380.2512540817261,68.56915,334.9089,570.9428571428572
1060000,387.60654306411743,42.85662,316.40802,363.8301886792453
1080000,394.891633272171,55.014317,320.90823,461.92857142857144
1100000,402.15516901016235,65.3437,403.01215,544.8974358974359
1120000,409.09591698646545,34.12935,176.40132,292.20588235294116
1140000,416.45099806785583,48.35512,228.1038,408.2244897959184
1160000,423.8395719528198,68.9882,295.807,574.0882352941177
1180000,431.4883770942688,52.54143,232.404,441.7173913043478
1200000,438.63539719581604,76.90667,362.91025,638.875
